Month,TotalCustomers,ChurnedCustomers,ChurnRate
0,11,0,0.00000
1,613,380,0.61990
2,238,123,0.51681
3,200,94,0.47000
4,176,83,0.47159
5,133,64,0.48120
6,110,40,0.36364
7,131,51,0.38931
8,123,42,0.34146
9,119,46,0.38655
10,116,45,0.38793
11,99,31,0.31313
12,117,38,0.32479
13,109,38,0.34862
14,76,24,0.31579
15,99,37,0.37374
16,80,28,0.35000
17,87,26,0.29885
18,97,24,0.24742
19,73,19,0.26027
20,71,18,0.25352
21,63,17,0.26984
22,90,27,0.30000
23,85,13,0.15294
24,94,23,0.24468
25,79,23,0.29114
26,79,15,0.18987
27,72,13,0.18056
28,57,12,0.21053
29,72,15,0.20833
30,72,16,0.22222
31,65,16,0.24615
32,69,19,0.27536
33,64,14,0.21875
34,65,12,0.18462
35,88,15,0.17045
36,50,10,0.20000
37,65,15,0.23077
38,59,13,0.22034
39,56,14,0.25000
40,64,13,0.20313
41,70,14,0.20000
42,65,14,0.21538
43,65,15,0.23077
44,51,6,0.11765
45,61,6,0.09836
46,74,12,0.16216
47,68,14,0.20588
48,64,9,0.14063
49,66,15,0.22727
50,68,10,0.14706
51,68,8,0.11765
52,80,8,0.10000
53,70,14,0.20000
54,68,13,0.19118
55,64,9,0.14063
56,80,10,0.12500
57,65,8,0.12308
58,67,11,0.16418
59,60,8,0.13333
60,76,6,0.07895
61,76,8,0.10526
62,70,5,0.07143
63,72,4,0.05556
64,80,4,0.05000
65,76,9,0.11842
66,89,13,0.14607
67,98,10,0.10204
68,100,9,0.09000
69,95,8,0.08421
70,119,11,0.09244
71,170,6,0.03529
72,362,6,0.01657
